Date,Open,High,Low,Close,Volume
07/11/2025,"52.00","52.66","49.29","49.72","1,630,101"
07/10/2025,"53.13","53.86","50.47","52.70","1,638,294"
07/09/2025,"51.69","52.58","49.41","52.04","1,640,663"
07/08/2025,"51.73","55.69","49.75","50.97","2,922,437"
07/07/2025,"48.89","51.34","47.81","50.99","1,733,591"
07/03/2025,"48.50","50.71","48.47","50.13","1,526,335"
07/02/2025,"46.51","48.55","46.15","47.94","2,516,179"
07/01/2025,"50.10","50.86","46.30","47.39","2,774,926"
06/30/2025,"49.75","52.60","48.08","51.22","2,839,252"
06/27/2025,"49.76","49.99","47.52","48.80","3,717,603"
06/26/2025,"46.31","52.00","45.89","51.96","3,041,473"
06/25/2025,"47.60","47.88","44.51","46.39","2,594,306"
06/24/2025,"48.75","50.59","46.40","46.96","2,819,682"
06/23/2025,"46.98","48.46","44.00","47.26","3,714,326"
06/20/2025,"47.58","50.29","46.38","49.23","3,046,350"
06/18/2025,"43.71","47.22","42.63","46.33","3,197,769"
06/17/2025,"44.69","47.19","43.06","43.55","2,614,322"
06/16/2025,"40.99","46.43","40.80","44.57","3,456,758"
06/13/2025,"40.85","41.82","39.15","39.19","2,592,699"
06/12/2025,"42.14","43.22","41.26","42.42","1,407,037"
06/11/2025,"45.00","45.01","42.01","42.57","2,958,308"
06/10/2025,"49.00","49.74","42.61","43.27","4,611,154"
06/09/2025,"50.86","51.38","47.77","48.67","2,565,230"
06/06/2025,"47.15","51.79","45.76","51.23","3,053,384"
06/05/2025,"44.70","48.93","43.80","45.64","2,619,862"
06/04/2025,"44.19","45.31","42.57","44.97","1,770,722"
06/03/2025,"46.03","46.04","42.80","44.28","3,119,483"
06/02/2025,"40.40","44.19","40.02","43.86","3,644,096"
05/30/2025,"39.96","43.27","37.87","39.47","4,344,142"
05/29/2025,"40.36","40.62","37.72","38.03","1,302,516"
05/28/2025,"40.93","41.57","38.25","39.34","1,517,320"
05/27/2025,"37.78","40.42","37.65","39.95","2,222,496"
05/23/2025,"35.02","36.94","34.93","36.48","1,024,013"
05/22/2025,"35.00","36.41","33.77","36.15","1,538,856"
05/21/2025,"36.26","37.96","34.79","34.81","1,374,878"
05/20/2025,"38.51","38.90","36.33","37.22","1,364,564"
05/19/2025,"34.76","38.73","34.70","38.49","1,718,010"
05/16/2025,"35.70","36.95","35.11","36.73","1,583,881"
05/15/2025,"34.27","35.97","33.44","35.40","1,294,687"
05/14/2025,"36.33","36.96","34.50","34.87","2,464,141"
05/13/2025,"35.33","37.44","35.23","36.32","2,436,722"
05/12/2025,"35.50","36.60","34.45","35.81","3,605,941"
05/09/2025,"37.15","37.52","31.90","34.62","8,443,688"
05/08/2025,"40.00","41.46","37.90","41.11","4,687,047"
05/07/2025,"38.67","39.08","36.02","36.76","2,216,618"
05/06/2025,"37.94","38.93","37.29","38.51","958,794"
05/05/2025,"38.74","39.15","38.00","38.68","1,005,086"
05/02/2025,"40.84","41.94","39.51","39.87","1,494,123"
05/01/2025,"39.45","40.83","38.02","39.25","1,361,740"
04/30/2025,"36.00","37.93","34.62","37.82","917,385"
04/29/2025,"38.19","38.75","36.79","37.56","792,183"
04/28/2025,"38.53","39.54","36.75","38.23","948,356"
04/25/2025,"38.27","38.42","36.80","38.07","829,696"
04/24/2025,"34.64","37.58","34.51","37.46","1,118,261"
04/23/2025,"33.89","36.29","33.89","34.39","1,414,134"
04/22/2025,"30.41","32.04","30.21","31.24","762,346"
04/21/2025,"32.19","32.45","29.13","29.68","1,636,571"
04/17/2025,"34.94","35.50","32.97","33.04","907,990"
04/16/2025,"34.49","35.50","33.25","34.78","752,407"
04/15/2025,"35.10","36.05","34.56","35.70","1,310,806"
04/14/2025,"39.00","39.88","34.22","35.16","1,337,962"
04/11/2025,"36.36","37.66","35.56","37.09","951,633"
04/10/2025,"35.66","37.69","34.32","36.98","1,878,633"
04/09/2025,"31.67","38.48","31.38","37.11","2,615,344"
04/08/2025,"35.28","35.28","30.82","32.09","2,238,797"
04/07/2025,"26.87","34.36","26.41","31.83","2,773,116"
04/04/2025,"31.27","31.65","27.27","29.97","3,794,538"
04/03/2025,"33.96","35.34","33.02","33.33","1,622,474"
04/02/2025,"35.14","38.32","34.87","37.85","1,416,927"
04/01/2025,"35.90","36.74","34.18","36.54","1,332,227"
03/31/2025,"35.50","37.00","34.40","35.90","1,714,970"
03/28/2025,"39.55","40.22","36.91","37.39","1,142,901"
03/27/2025,"40.40","41.16","38.61","39.83","1,101,753"
03/26/2025,"44.01","44.17","40.60","41.23","1,105,632"
03/25/2025,"46.12","46.39","43.23","44.35","1,701,870"
03/24/2025,"45.14","47.20","44.08","46.12","2,052,985"
03/21/2025,"41.78","42.36","40.12","41.82","1,256,959"
03/20/2025,"42.80","44.82","42.53","42.99","865,285"
03/19/2025,"41.76","45.00","41.15","43.93","1,051,332"
03/18/2025,"44.85","44.85","41.31","41.38","1,245,622"
03/17/2025,"48.51","50.93","45.88","45.93","1,612,224"
03/14/2025,"45.13","48.34","44.65","48.18","2,609,272"
03/13/2025,"46.31","46.86","42.11","43.14","1,618,502"
03/12/2025,"44.96","46.85","42.71","46.60","2,645,654"
03/11/2025,"40.58","43.20","39.26","41.88","1,598,526"
03/10/2025,"44.44","45.69","40.38","41.10","2,261,342"
03/07/2025,"46.55","47.71","43.11","47.25","1,670,542"
03/06/2025,"51.88","51.96","45.06","46.31","2,151,346"
03/05/2025,"51.50","53.97","49.81","53.80","1,371,371"
03/04/2025,"47.33","53.87","46.75","51.14","2,622,275"
03/03/2025,"55.75","56.00","49.86","50.76","2,997,083"
02/28/2025,"49.02","53.34","48.68","52.72","2,365,484"
02/27/2025,"64.99","65.05","52.51","52.62","3,685,958"
02/26/2025,"60.06","65.63","59.88","64.17","3,896,026"
02/25/2025,"57.00","60.20","55.51","58.11","2,934,963"
02/24/2025,"62.25","65.98","55.00","59.21","4,879,950"
02/21/2025,"59.46","71.00","58.50","61.91","12,846,100"
02/20/2025,"55.59","55.59","48.50","54.56","5,158,020"
02/19/2025,"60.00","62.32","57.60","59.52","3,249,172"
02/18/2025,"58.03","60.48","55.93","58.09","3,676,219"
02/14/2025,"53.25","55.81","50.24","53.84","3,050,002"
02/13/2025,"45.00","52.72","44.70","52.29","3,407,947"
02/12/2025,"41.06","44.11","40.87","43.84","1,061,120"
02/11/2025,"43.74","44.16","41.47","42.47","1,105,809"
02/10/2025,"44.20","45.03","43.07","44.33","1,169,389"
02/07/2025,"40.25","43.80","40.25","42.88","1,633,494"
02/06/2025,"39.50","40.34","38.83","39.81","731,385"
02/05/2025,"39.00","39.75","37.33","39.29","700,464"
02/04/2025,"37.43","38.83","37.36","38.75","924,965"
02/03/2025,"34.00","36.93","33.91","36.74","958,635"
01/31/2025,"36.86","38.89","36.70","37.08","1,521,210"
01/30/2025,"34.91","36.92","34.91","36.09","1,000,425"
01/29/2025,"34.07","34.57","32.58","34.17","1,001,719"
01/28/2025,"34.00","35.19","33.00","33.93","1,619,057"
01/27/2025,"35.00","35.55","31.71","33.19","2,498,328"
01/24/2025,"39.83","42.46","38.94","40.28","1,167,019"
01/23/2025,"38.78","39.94","38.28","39.68","742,327"
01/22/2025,"39.05","40.64","37.91","39.80","1,216,969"
01/21/2025,"37.50","38.90","36.12","38.24","853,614"
01/17/2025,"38.17","38.32","36.70","36.78","795,475"
01/16/2025,"37.01","38.10","36.58","37.09","645,116"
01/15/2025,"35.44","37.08","35.43","36.82","1,116,836"
01/14/2025,"34.97","35.50","33.40","33.95","1,026,508"
01/13/2025,"33.98","34.32","32.54","33.43","1,346,471"
01/10/2025,"35.55","36.21","34.02","35.96","1,390,901"
01/08/2025,"38.00","39.00","35.51","36.76","1,892,216"
01/07/2025,"43.50","43.74","37.30","39.10","2,476,811"
01/06/2025,"45.58","46.69","42.91","43.76","1,988,385"
01/03/2025,"40.19","44.40","39.63","44.32","1,284,005"
01/02/2025,"40.21","41.27","38.45","39.50","830,767"
12/31/2024,"42.60","42.60","39.22","39.52","997,812"
12/30/2024,"44.00","44.50","41.04","42.09","1,240,202"
12/27/2024,"46.00","46.23","43.15","45.36","1,136,578"
12/26/2024,"42.94","46.66","42.10","46.23","1,494,184"
12/24/2024,"43.35","43.76","41.23","43.09","694,846"
12/23/2024,"43.96","44.45","40.77","43.26","2,448,353"
12/20/2024,"38.55","44.28","38.11","43.01","2,606,419"
12/19/2024,"37.20","41.52","36.92","39.76","2,631,885"
12/18/2024,"37.83","38.00","33.41","34.19","1,505,247"
12/17/2024,"38.77","39.88","36.92","37.57","1,489,076"
12/16/2024,"34.87","38.19","34.81","37.76","1,648,069"
12/13/2024,"35.20","37.01","34.21","34.50","2,220,586"
12/12/2024,"36.87","37.49","34.41","35.03","2,009,225"
12/11/2024,"39.91","40.03","37.65","37.73","1,649,993"
12/10/2024,"42.54","44.85","38.09","38.28","2,467,265"
12/09/2024,"45.95","55.17","43.41","43.63","5,343,891"
12/06/2024,"45.90","45.90","43.90","44.55","1,415,095"
12/05/2024,"46.00","48.45","43.21","45.13","2,115,106"
12/04/2024,"41.50","46.13","40.27","45.66","2,855,322"
12/03/2024,"39.49","40.84","38.50","40.38","895,922"
12/02/2024,"41.90","45.25","40.34","40.52","2,080,039"
11/29/2024,"40.30","42.09","38.79","41.08","1,387,485"
11/27/2024,"39.97","40.50","36.51","38.33","2,189,219"
11/26/2024,"42.16","44.64","40.25","40.37","1,897,038"
11/25/2024,"46.25","47.85","44.05","45.39","2,426,310"
11/22/2024,"47.17","48.25","44.66","44.77","2,362,106"
11/21/2024,"46.99","47.69","43.70","46.23","2,145,437"
11/20/2024,"45.58","45.90","42.95","44.45","1,267,063"
11/19/2024,"41.45","45.37","40.36","44.68","2,011,050"
11/18/2024,"40.64","43.80","38.72","41.44","2,415,604"
11/15/2024,"39.74","39.85","36.02","36.75","1,511,112"
11/14/2024,"39.50","39.65","36.58","39.16","1,190,418"
11/13/2024,"46.16","46.16","38.46","39.33","3,062,866"
11/12/2024,"45.35","49.72","44.39","45.99","2,803,070"
11/11/2024,"43.14","47.81","40.67","45.90","4,249,295"
11/08/2024,"30.34","43.65","29.67","42.78","9,608,570"
11/07/2024,"24.20","25.24","23.67","24.34","1,250,595"
11/06/2024,"23.00","24.18","22.70","24.08","1,085,289"
11/05/2024,"20.71","22.25","20.26","22.02","802,799"
11/04/2024,"21.16","21.24","20.22","20.64","346,206"
11/01/2024,"20.47","21.84","20.47","21.13","569,053"
10/31/2024,"21.00","21.22","19.69","20.11","808,854"
10/30/2024,"21.75","21.90","21.13","21.43","536,345"
10/29/2024,"20.50","21.69","20.21","21.68","425,931"
10/28/2024,"20.65","21.19","19.90","20.49","620,403"
10/25/2024,"19.41","20.40","19.29","20.30","486,186"
10/24/2024,"19.25","19.74","18.77","19.16","309,172"
10/23/2024,"19.15","19.40","18.58","18.97","248,038"
10/22/2024,"19.48","20.20","19.15","19.40","483,509"
10/21/2024,"18.79","19.69","18.24","19.64","484,076"
10/18/2024,"18.63","19.24","17.56","18.80","615,356"
10/17/2024,"18.04","18.70","17.57","18.33","559,450"
10/16/2024,"17.02","17.72","16.95","17.62","315,068"
10/15/2024,"17.23","17.62","16.58","16.92","416,079"
10/14/2024,"16.79","17.36","16.55","17.09","397,707"
10/11/2024,"15.59","16.75","15.33","16.56","433,111"
10/10/2024,"15.22","15.49","14.79","15.48","229,622"
10/09/2024,"15.44","16.18","15.37","15.56","185,000"
10/08/2024,"15.47","15.70","14.90","15.52","296,359"
10/07/2024,"15.49","15.92","15.29","15.45","303,489"
10/04/2024,"16.27","16.61","15.55","15.57","375,744"
10/03/2024,"15.30","15.80","15.18","15.68","251,762"
10/02/2024,"15.35","16.10","15.16","15.48","366,339"
10/01/2024,"16.78","16.88","15.31","15.49","628,714"
09/30/2024,"15.67","16.84","15.40","16.77","973,242"
09/27/2024,"16.30","16.54","15.50","15.91","342,253"
09/26/2024,"15.82","16.07","15.21","15.96","383,228"
09/25/2024,"15.48","15.85","15.00","15.41","605,920"
09/24/2024,"15.33","15.51","14.80","15.48","539,428"
09/23/2024,"14.11","15.52","13.92","15.46","776,108"
